200
Item,  weight,   value,  num_items
Item 1,  1.02,  467,  7
Item 2,  1.56,  75,  5
Item 3,  2.86,  999,  6
Item 4,  1.15,  281,  7
Item 5,  3.13,  745,  10
Item 6,  0.63,  923,  3
Item 7,  3.32,  218,  3
Item 8,  4.11,  680,  7
Item 9,  2.28,  618,  7
Item 10,  0.58,  97,  3
Item 11,  0.41,  314,  3
Item 12,  1.19,  336,  9
Item 13,  0.91,  801,  4
Item 14,  2.5,  590,  9
Item 15,  4.87,  83,  6
Item 16,  1.0,  908,  1
Item 17,  3.19,  73,  5
Item 18,  2.29,  702,  8
Item 19,  2.37,  95,  10
Item 20,  3.71,  103,  6
